Event Name,Event Date
International Symposium on Innovations in Computer Vision and Applications (ISICVA 2025),"Friday, November 28, 2025"
AICTE VAANI Workshop,"Thursday, September 11, 2025"
3rd International Conference on Data Analytics and Insights (ICDAI-2025),"Thursday, August 28, 2025"
TECH SYNERGY 2025,"Monday, August 04, 2025"
Workshop On Robotics & AI,"Monday, July 14, 2025"
YAGVIK 2025,"Thursday, May 15, 2025"
Inter College Innovative Project Poster Competition 2025,"Monday, May 12, 2025"
Pervasive Computing for Sustainable and Smart Cities,"Wednesday, April 23, 2025"
An Intra-College Business Plan Competition,"Tuesday, April 22, 2025"
HACKFEST 2025,"Tuesday, April 22, 2025"
World Creativity and Innovation Day,"Monday, April 21, 2025"
IncubES 2025,"Thursday, April 10, 2025"
Blood Donation Camp,"Wednesday, March 19, 2025"
PRABUDDHA 2025,"Thursday, February 27, 2025"
"RedHat OpenShift RHA Program - Courses, Certs and Career Opportunities","Tuesday, January 28, 2025"
AICTE ATAL Faculty Development Programme,"Monday, January 13, 2025"
AICTE VAANI Workshop,"Thursday, January 09, 2025"
Awareness Programme on Transgender Persons,"Monday, December 16, 2024"
PUJOGRAPHY 2024,"Tuesday, November 05, 2024"
Debate Competition,"Tuesday, October 08, 2024"
Viswakarma Puja Celebration,"Tuesday, September 17, 2024"
SAMMANNIK-2024,"Thursday, September 05, 2024"
PROBAHO’ a farewell ceremony for 2024 pass out students,"Friday, June 28, 2024"
SYNNOVA 2024 (Management Fest),"Wednesday, May 29, 2024"
Industry Visit - Adani Wilmar,"Tuesday, May 21, 2024"
NANDANIK 2024,"Thursday, March 21, 2024"
Sport Exuberance 2023-24,"Friday, March 01, 2024"
IDE Bootcamp,"Monday, January 29, 2024"
Eloquent Souls (Second Poetry Festival),"Friday, January 19, 2024"
One Day Seminar on Virtual Reality and Image Registration,"Wednesday, January 10, 2024"
QNA Session on Data Science!,"Monday, January 08, 2024"
Crash course on C,"Tuesday, January 02, 2024"
Extented Social Responsibility,"Wednesday, December 20, 2023"
SIH-23 Grand Finale Participation,"Tuesday, December 19, 2023"
Motivational session by successful innovators,"Friday, November 24, 2023"
Basics of Machine Learning,"Saturday, November 04, 2023"
Basics of Python,"Wednesday, November 01, 2023"
Alumni Interactive Session with 1st year Students,"Friday, October 20, 2023"
AGOMONI-2023,"Wednesday, October 18, 2023"
Ex-Voice 2K23,"Friday, October 13, 2023"
BIJOYA SOMMELONI-2023,"Wednesday, October 11, 2023"
Debate Competition,"Tuesday, October 10, 2023"
Vishwakarma Puja 2023,"Sunday, September 17, 2023"
SAMMANNIK-2023,"Tuesday, September 05, 2023"
Webiner on Deep Fake Technology,"Thursday, August 31, 2023"
BOMBAY STOCK EXCHANGE,"Friday, August 18, 2023"
PROBAHO-2023,"Monday, July 10, 2023"
International Conference on Data Analytics and Insights (ICDAI-2023),"Thursday, May 11, 2023"
Application of AI / ML in the emerging field of Electrical Engineering,"Monday, April 17, 2023"
Application of IoT in the emerging field of Electrical Engineering,"Monday, April 10, 2023"
Srijani 2023,"Tuesday, March 21, 2023"
IoT & hands-on project training,"Monday, March 13, 2023"
IOT and Hands-on Training,"Monday, March 13, 2023"
Blood Donation Camp,"Thursday, March 02, 2023"
Sport Exuberance 2022-23,"Wednesday, February 22, 2023"
ICT As A Tool for Digitalization of Education 2023,"Wednesday, January 18, 2023"
First Year Orientation Programme-2022 & বিজয়া সম্মেলনী -১৪২৯,"Monday, October 10, 2022"
GDSC Info Session 2022-2023,"Monday, September 19, 2022"
Vishwakarma Puja Celebration,"Monday, September 19, 2022"
Engineer's Day Celebration,"Friday, September 16, 2022"
PRAKAUSHALI 2022,"Thursday, September 15, 2022"
Seminar on 6G Towards AR/VR - Sep 2022,"Thursday, September 15, 2022"
ABHIYANTRIK 2022,"Thursday, September 15, 2022"
Debate Competition LITWITS-TINT - September 2022,"Wednesday, September 14, 2022"
Seminar on Augmented Reality and Virtual Reality - Sep 2022,"Tuesday, September 06, 2022"
Parent-Teacher meeting,"Tuesday, September 06, 2022"
SAMMANNIK-2022,"Tuesday, September 06, 2022"
Seminar on Blockchain Technology - Sep 2022,"Tuesday, September 06, 2022"
SIH 2022,"Thursday, August 25, 2022"
SIH 2022 Grand Finale,"Thursday, August 25, 2022"
22th Srabon (2022),"Monday, August 08, 2022"
IEI Student Chapter Inauguration,"Tuesday, July 26, 2022"
SCINTILLA - July 2022,"Friday, July 22, 2022"
Industry Visit - Exide,"Friday, July 15, 2022"
Training on Management Essential,"Monday, July 11, 2022"
Farewell 2022,"Friday, July 01, 2022"
Intellectual Property Rights (IPR) - June 2022,"Thursday, June 30, 2022"
‘PROBAHO’ a farewell ceremony for 2022 pass out students,"Wednesday, June 08, 2022"
A workshop on “Enhancing Language Learning Skills by Games”,"Friday, June 03, 2022"
"Innovation, Entrepreneurship and IPR - May 2022","Friday, May 13, 2022"
Rabindra Jayanti 2022,"Monday, May 09, 2022"
Application of IoT,"Monday, May 09, 2022"
Inter Department Debate Competition,"Monday, May 09, 2022"
PTM-2022,"Friday, May 06, 2022"
Eloquent Souls (First Poetry Festival),"Tuesday, April 26, 2022"
EE Alumnai Meet 2022,"Friday, April 22, 2022"
"Expert Talk on ""Importance of IPR activities in the flourishment of Innovation"" - April 2022","Thursday, April 21, 2022"
Workshop on Enterpreneurship,"Tuesday, April 19, 2022"
Enterprenureship 2022,"Tuesday, April 19, 2022"
Srijani-2022,"Wednesday, April 13, 2022"
Basanta Utsav 2022,"Tuesday, April 12, 2022"
Creating Awareness on Intellectual Property Rights - February 2022,"Saturday, February 26, 2022"
Christmas Carnival 2021,"Thursday, December 23, 2021"
Agomoni,"Friday, October 08, 2021"
5-Days FDP Program on Machine Learning and Its Applications,"Tuesday, August 17, 2021"
Webinar on Prospect of Wind Energy in India and Scope of Electrical Engineer in the Field,"Wednesday, August 04, 2021"
22th Srabon (Laho Pronam),"Tuesday, July 27, 2021"
Qurbani 2021,"Sunday, July 25, 2021"
Training on Happiness,"Monday, July 19, 2021"
Introduction to Robotics and its Importance in Industry,"Monday, July 12, 2021"
